ID,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,Target,FLAG_CAR,FLAG_REALTY
5008804,0,4275000,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,20,0,C,0,1,1
5008805,0,4275000,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,20,0,C,0,1,1
5008806,0,1125000,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,20,0,C,0,1,1
5008808,0,2700000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,10,0,0,0,0,1
5008809,0,2700000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,10,-22,X,0,0,1
5008810,0,2700000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,10,0,C,0,0,1
5008811,0,2700000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,10,0,C,0,0,1
5008812,0,2835000,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,10,-4,0,0,0,1
5008813,0,2835000,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,10,0,0,0,0,1
5008814,0,2835000,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,10,-1,0,0,0,1
5008815,0,2700000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,20,0,0,0,1,1
5008819,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,-10,X,0,1,1
5008820,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,-8,X,0,1,1
5008821,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,0,X,0,1,1
5008822,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,-14,X,0,1,1
5008823,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,-3,X,0,1,1
5008824,0,1350000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,20,0,0,0,1,1
5008825,0,1305000,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,20,0,0,0,1,0
5008826,0,1305000,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,20,-1,C,0,1,0
5008827,0,1800000,Pensioner,Higher education,Married,House / apartment,-18772,365243,1,0,0,0,,20,0,C,0,1,1
5008830,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,20,0,C,0,0,1
5008831,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,20,0,C,0,0,1
5008832,0,1575000,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,20,0,C,0,0,1
5008834,1,1125000,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,20,0,C,0,0,1
5008835,1,1125000,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,20,-28,X,0,0,1
5008836,3,2700000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,50,-8,C,0,1,1
5008837,3,2700000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,50,-2,C,0,1,1
5008838,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,-9,X,0,0,1
5008839,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,0,C,0,0,1
5008840,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,0,C,0,0,1
5008841,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,0,0,0,0,1
5008842,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,0,0,0,0,1
5008843,1,4050000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,30,0,C,0,0,1
5008844,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,-11,C,0,1,1
5008846,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,0,0,0,1,1
5008847,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,-14,C,0,1,1
5008849,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,-40,C,0,1,1
5008850,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,0,0,0,1,1
5008851,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,0,0,0,1,1
5008852,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,0,0,0,1,1
5008853,0,1125000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,20,-24,C,0,1,1
5008854,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,-38,0,0,1,1
5008855,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,C,0,1,1
5008856,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008857,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,X,0,1,1
5008858,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,C,0,1,1
5008859,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008860,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008861,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008862,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008863,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,-1,0,0,1,1
5008864,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,0,0,0,1,1
5008865,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,-7,0,0,1,1
5008866,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,-18,0,0,1,1
5008867,2,1350000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,40,-22,X,0,1,1
5008868,1,2115000,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,30,0,0,0,0,1
5008870,1,2115000,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,30,-9,0,0,0,1
5008872,0,3600000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,20,0,0,0,1,1
5008873,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008874,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008875,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008876,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008877,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008878,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,-32,1,1,0,1
5008879,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008880,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008881,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,0,C,0,0,1
5008882,2,1260000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,40,-6,C,0,0,1
5008884,0,3150000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,,10,0,C,0,0,1
5008888,0,2475000,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,10,-6,X,0,0,1
5008889,0,2475000,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,10,0,0,0,0,1
5008890,0,2475000,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,10,-43,X,0,0,1
5008891,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008892,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-22,C,0,0,1
5008893,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008894,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008895,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008896,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-19,C,0,0,1
5008897,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-17,C,0,0,1
5008898,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-11,C,0,0,1
5008899,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-15,C,0,0,1
5008900,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-9,C,0,0,1
5008901,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-12,C,0,0,1
5008902,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-7,C,0,0,1
5008903,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-12,C,0,0,1
5008904,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-6,C,0,0,1
5008905,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-10,C,0,0,1
5008906,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-4,C,0,0,1
5008907,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-8,C,0,0,1
5008908,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-2,C,0,0,1
5008909,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-7,C,0,0,1
5008910,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-1,C,0,0,1
5008911,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-6,C,0,0,1
5008912,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008913,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-4,C,0,0,1
5008914,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008915,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-3,C,0,0,1
5008916,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008917,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,-2,C,0,0,1
5008918,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008919,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008920,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008921,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008922,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008923,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008924,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008925,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008926,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,0,0,0,1
5008927,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008928,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,1,1,0,1
5008929,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008930,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,0,0,0,1
5008931,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008932,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,0,0,0,1
5008933,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008934,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
5008935,0,2970000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,10,0,C,0,0,1
